epoch,banach_loss,betti_0_err,betti_1_err,betti_2_err,timestamp
1,1.6394426414780974e-10,0.00021638505339660608,1.9760170068307046e-05,3.0875096519201107e-15,2026-05-05T02:52:15.896+00:00
2,7.329649491483266e-06,0.00021638495322151563,1.9760169799826083e-05,3.0875095268397716e-15,2026-05-05T02:52:15.896+00:00
3,0.6696243912022073,0.0002164071990069516,1.978420338367758e-05,3.0987737370920277e-15,2026-05-05T02:52:15.896+00:00
4,1.0138492948571636,0.2262923281191418,0.0020846976603072862,3.616263009763525e-09,2026-05-05T02:52:15.897+00:00
5,1.4057045702005724e-05,1.1773145053442051,0.003225920151502333,1.3399471183561745e-08,2026-05-05T02:52:15.897+00:00
6,1.4488825758412995e-10,1.177328336603334,0.0032259118397382973,1.3399367609110299e-08,2026-05-05T02:52:15.897+00:00
7,1.4477033928712054e-15,1.1773283367458949,0.003225911839652621,1.3399367608043117e-08,2026-05-05T02:52:15.898+00:00
8,2.604628232417064e-16,1.1773283367458962,0.003225911839652627,1.3399367608043284e-08,2026-05-05T02:52:15.898+00:00
9,1.766354016019247e-16,1.1773283367458964,0.0032259118396526275,1.3399367608043385e-08,2026-05-05T02:52:15.898+00:00
10,1.368563798628543e-16,1.1773283367458962,0.0032259118396526258,1.3399367608042016e-08,2026-05-05T02:52:15.899+00:00
11,1.7622604902012693e-16,1.1773283367458964,0.0032259118396526267,1.3399367608043495e-08,2026-05-05T02:52:15.899+00:00
12,2.0920506204726484e-16,1.1773283367458962,0.0032259118396526258,1.3399367608042882e-08,2026-05-05T02:52:15.899+00:00
13,1.4898437035160061e-16,1.1773283367458962,0.0032259118396526223,1.339936760804339e-08,2026-05-05T02:52:15.900+00:00
14,1.2509268882771003e-16,1.1773283367458962,0.0032259118396526267,1.3399367608042751e-08,2026-05-05T02:52:15.900+00:00
15,1.7622604902012693e-16,1.1773283367458964,0.0032259118396526267,1.3399367608043495e-08,2026-05-05T02:52:15.900+00:00
16,2.0920506204726484e-16,1.1773283367458962,0.0032259118396526258,1.3399367608042882e-08,2026-05-05T02:52:15.901+00:00
