epoch,banach_loss,betti_0_err,betti_1_err,betti_2_err,timestamp,hash
380,8.454081793754834e-16,nan,0.0,nan,1778028080.734162,753b7d61c7b2aa79c4cdd9d09dde46a80afb95cc4b3710cdbf92afa3f4794052
390,5.831974447653091e-16,nan,0.0,nan,1778028080.7351654,eff8b617c6a5731ed3d9607a9172c7876ffc8daea24e09fd1de9675042159cda
400,3.413537834289895e-16,nan,0.0,nan,1778028080.7351654,6182b420b39299714268a3ca73a6711d96c3b9afd59eb82be0b512d16c03a210
410,5.810471242486587e-16,nan,0.0,nan,1778028080.7361617,c2cb7e52d5eceaf01e818e803003e97df30373b90143eab67577328a50be5a97
420,5.977537216390317e-16,nan,0.0,nan,1778028080.7371652,3d9d909ccceeeb391fb6a780404b426472d8f0cbb8360a029208a3d569b1358c
430,2.806611450978446e-16,nan,0.0,nan,1778028080.7381656,81153b37e2c82697c4fe0c9b9951204499a23fe8a8bd548fb4a09cc9882f75cf
440,4.091630760354216e-16,nan,0.0,nan,1778028080.7391615,13a1116f78f9f4fe5423470449c8cbe1efb75fa3196bec9a1364d81b92778789
450,3.7451011243900564e-16,nan,0.0,nan,1778028080.7391615,88e2d8244e113d7281250f354af54a4935760eb81658c2a8d2c59f0957e00550
460,3.9722027727908357e-16,nan,0.0,nan,1778028080.7401614,f100848070066b2a74296e98b58c22fc232a0523193c2e907e8e00d312cf17cc
470,9.700816127606417e-16,nan,0.0,nan,1778028080.7417984,a48552a2b926bf877adf1310c1ee26d02c2c385bc04ace5bf02ecd073443963a
480,3.729621620272063e-16,nan,0.0,nan,1778028080.742813,ea7bd0477568f651ced723d7da821e4c16e0654aed17b00f04d2d980c3b62868
490,5.240601815674128e-16,nan,0.0,nan,1778028080.743813,b6888152f8c822dd957386955bf7f7616b85a799615afb656fb7c74a027c9727
500,7.201765534530849e-16,nan,0.0,nan,1778028080.743813,dd1c98ab74e90fd96f6630125bbf4c0b9855cbc2a6ca7bef48e83ead2efed9c2
510,3.391553377384881e-16,nan,0.0,nan,1778028080.743813,ab3c36a92baa722c41424e6e55e2b99e7deec025c0fe4177b6d58d65b7cc50c7
520,1.0672596910748736e-15,nan,0.0,nan,1778028080.7453253,b5b42382eb19a317c93d9f4d7fdfa5f4a7c763caa09f0625452f519a1caf331e
530,4.3333413215361613e-16,nan,0.0,nan,1778028080.746338,e132651a625a3ebce01ec1c5b791bfe6b164f7cdb5a91b9e71f7305c85e236dc
540,2.359230755268779e-16,nan,0.0,nan,1778028080.7473416,7966439db2e3be51c2894ced96b1542da19c7d6e1b26c332ebbcbd563bdf42e5
550,1.2829276368901908e-15,nan,0.0,nan,1778028080.7473416,fbc6406344b903ae4cf61a35d17aa30e045843c492e1c10309b3543506a963b6
560,7.122431404275652e-16,nan,0.0,nan,1778028080.7483416,b0a23f00445a5779ef237eac070050a6d14bc18d8e97107f3c18d3878f10105b
